image,generated_caption
2826769554.jpg,a wet dog is running on the beach with a stick in its mouth.
2832033116.jpg,a woman in a helmet is holding a pulley.
283214657.jpg,a man in suspenders is sitting on a pile of blankets.
2832453252.jpg,four children play in the water.
2833582518.jpg,a greyhound dog is running around a track.
2834451643.jpg,a group of people are standing around a fruit stand.
2837908308.jpg,a dog jumps over a hurdle.
2838125339.jpg,a dog climbing a wall.
2838920834.jpg,a man crosses the street in front of a blue wall.
2839532455.jpg,a dog is playing with a ball in the sand.
2839953744.jpg,an old woman is sitting on a crate in front of a table with clothes on it.
284105062.jpg,a man in a red jacket is riding a horse in the mountains.
2841088187.jpg,a boy wearing goggles and a blue shirt is standing near a lake.
2843553836.jpg,two women sitting on a bench in front of a sign.
2844126957.jpg,a young boy wearing suspenders and a red shirt is hammering a metal object with a hammer.
2844654521.jpg,a woman in a black and white dress is walking down the street.
2845913338.jpg,a group of people wearing red and white hats pose for a picture.
2846853277.jpg,a young boy rides his bicycle past a brick building with a white tower and gate.
2847859796.jpg,a child wearing goggles in a pool.
2850719435.jpg,two children jumping on a trampoline.
2852672275.jpg,a man in rubber boots is inspecting a line of tuna.
2855417531.jpg,a boy in a plaid shirt is swinging on a swing.
2856769919.jpg,a young girl in a pink shirt and white shorts is swinging on a swing.
2857372127.jpg,a man and a woman wearing hats.
2858757067.jpg,two people in red jackets are standing next to a horse.
2858793859.jpg,two men running away from a fire.
2859601137.jpg,a man in a blue apron is cutting fish.
2860667542.jpg,a white bird is landing on the water.
286084055.jpg,a man in a red shirt and glasses is talking to two women and a man in a blue shirt
2862481071.jpg,trucks racing on a racetrack.
2863042793.jpg,a policeman standing guard on the side of a building.
2863186021.jpg,a woman in a white jacket is walking through a park with birds.
2864634088.jpg,a group of cyclists are racing down a street.
2865725777.jpg,a man is sculpting a gargoyle.
2866974237.jpg,a person with pink hair is looking at the ocean.
2868652721.jpg,a woman in a red shirt is sitting at a counter in a food court.
2869439070.jpg,a young boy is standing in front of a sand sculpture of a pyramid.
2871984109.jpg,cheerleaders in blue uniforms are standing on a football field.
2873445888.jpg,a boy is kicking a leg in the water.
2875605750.jpg,a woman in black is washing windows.
2879241506.jpg,a man and a woman are standing in front of a blue door with fish cutouts.
2880874989.jpg,a toddler in striped pants is reaching for a white stove.
2881685775.jpg,a group of girls walking down a brick street.
288177922.jpg,two children are walking in a park.
2882746618.jpg,three people in hooded jackets look out over the ocean.
2883099128.jpg,a shirtless man is playing tennis.
2883749170.jpg,a group of construction workers are standing in front of a building under construction.
2883950737.jpg,two women in bikinis are walking on the beach.
2885387575.jpg,a dog is playing with a blue ball.
2888815691.jpg,a young child is looking up.
2890075175.jpg,a dog is carrying a tire in its mouth.
2891617125.jpg,a man on a dirt bike is riding on a dirt track.
2892467862.jpg,a boy in black shorts is playing in a fountain.
2892843393.jpg,a woman wearing a straw hat is operating a machine with coconuts on the side of the road.
2892989340.jpg,a young man is surfing in the ocean.
289616152.jpg,a man is rollerblading down a rail.
289637262.jpg,a soccer game is played in a stadium full of people.
289638061.jpg,soccer players in yellow jerseys are walking around the field.
289639811.jpg,a soccer game is played in a stadium full of people.
2896640216.jpg,a dog jumps over a hurdle.
2897143731.jpg,a man in a white robe and glasses is sitting in a waiting room.
2897147853.jpg,a man in a white shirt and gray shorts is sitting on a brown couch in a pink and white
2897832422.jpg,an older man in a black hat and black leather jacket is sitting outside and reading a book.
2897978268.jpg,two men in a hospital.
2899594400.jpg,two men and a dog are playing with a ball in the water.
2900213085.jpg,a crowd of people are dancing.
2904676815.jpg,a woman walking down a sidewalk.
290629328.jpg,a man in a blue shirt is working on a machine.
2909955251.jpg,a man in a yellow canoe is paddling down a river.
2911552402.jpg,a person is doing a trick on a bike.
2911706853.jpg,a young girl getting her haircut by an older woman.
2912692890.jpg,a man and a young boy are eating outside.
2913965136.jpg,a boy in a green uniform is kicking a soccer ball in a field.
2914163048.jpg,a woman scoops ice cream into a bowl with toppings for toppings.
2921578694.jpg,a man is riding a sailboat in the ocean.
2922512807.jpg,a shirtless man is jumping down the steps with his skateboard.
2922721663.jpg,a man in a robe is sitting next to a man in a robe with candles.
2922973230.jpg,a woman walks through a field towards a herd of sheep.
2924306387.jpg,a man in a blue shirt and red shorts is running.
2925164688.jpg,a man and a woman are running in a race.
2925677810.jpg,a man in yellow shorts is doing a flip on a blue mat.
2927878881.jpg,a man plays with two dogs on a beach.
2929086689.jpg,"three men are standing in a room, one pointing at something."
2929188436.jpg,a woman in a colorful dress is sorting lettuce at a market.
2931392634.jpg,"a man in a white, yellow, and red shirt is attempting to wrestle a black bull in a"
2931759630.jpg,a man is working on a beam with a torch.
29320312.jpg,a little girl is eating a burrito.
2932395753.jpg,a man in a blue shirt and a turban is smoking a hookah.
2933359877.jpg,a woman in a blue skirt is waiting for a train.
2933872721.jpg,a man in an orange shirt is standing in front of a display of food.
2937312269.jpg,a group of asian people wearing white and red uniforms are marching in a parade.
2938316391.jpg,a woman in a hoodie and bikini bottoms is standing on the beach with a camera.
2938996469.jpg,a man in a white shirt and black pants is putting on gloves.
2939771132.jpg,a woman in a colorful dress is playing a drum.
2940342154.jpg,a baseball player is about to throw a ball.
2940427692.jpg,a young boy is playing with a yellow shovel on the beach.
2940719987.jpg,a woman in a black shirt is giving a presentation to a group of people.
2944362789.jpg,a skateboarder is airborne at a skate park.
294443417.jpg,a young boy is sliding down a snow covered hill on a sled.
2944553914.jpg,a group of children are dancing in a classroom.
294716517.jpg,a girl in a pink sweater kicks up fallen leaves.
2949497756.jpg,two dogs are standing next to each other.
2949982320.jpg,a bmx biker is doing a trick on a ramp.
295229746.jpg,a woman in a gray sweater is standing in front of a table with fish on it.
2952839389.jpg,a group of people are cleaning up the beach.
295402802.jpg,a man in a brown shirt is pushing a bicycle.
2955083038.jpg,a group of people are sitting and resting on camels in the desert.
2955673642.jpg,a white car is driving in a parking lot.
2956811273.jpg,a man in a suit shakes hands with a man in a suit.
2956822125.jpg,a man in a white shirt and blue jeans is giving a powerpoint presentation.
295729735.jpg,a boy and a woman sitting on a train.
2960756662.jpg,a man in a hat is standing in a river with a net.
2961318294.jpg,two men sitting on a bench talking.
296349520.jpg,a man in a vest is riding a bus.
296430084.jpg,a woman in pink and black is sleeping on a train.
2971211296.jpg,a young boy in a red football uniform runs with a football.
2971725406.jpg,a man in a yellow jumpsuit welding a piece of metal.
2973355135.jpg,two people in a rowboat on a river surrounded by trees.
2973638173.jpg,a skateboarder in midair with his board in the air.
2975253472.jpg,two men playing soccer on a field.
2976155358.jpg,a woman in a red shirt is kicking a soccer ball in a goal.
297724467.jpg,a brown dog shaking off water on a beach.
2977246776.jpg,a young girl is swinging on a swing with a woman in the background.
2978040423.jpg,a woman is standing in front of a cart selling ice cream.
2978236380.jpg,a man in a hawaiian shirt is playing a guitar and singing.
2979405398.jpg,a woman and a child are riding in a strawberry ride.
29813421.jpg,a young boy is digging in the sand.
2981702521.jpg,a group of people wait to board a subway train.
2983555530.jpg,a football player in a yellow uniform is holding a football in the middle of a game.
2984722428.jpg,a man in a field is holding a large bag of crops.
2985439112.jpg,two men are doing tricks on a basketball court.
298611438.jpg,a young girl in a pink sweater and plaid hat pushing a toy lawn mower.
2987142183.jpg,a man and a woman are walking on the beach.
2988339083.jpg,a group of people are waiting for a train.
2989386106.jpg,a man in a blue jacket is standing in a field of hay.
2990977776.jpg,a boy in a black shirt and brown pants is jumping over a rail on a skateboard.
2991335410.jpg,a man in a red jacket chisels a rock.
2993167197.jpg,a basketball player in an orange uniform is holding a ball.
2993388841.jpg,a basketball player in a blue uniform is attempting to block a player in an orange uniform.
2993856241.jpg,a man and a woman dressed up for halloween.
2994107810.jpg,a basketball player in an orange uniform is trying to block a player in a blue uniform.
2994179598.jpg,a man in an orange miami basketball uniform looks to the left.
2996430347.jpg,a man and a woman are standing on the street.
2998277360.jpg,an elderly woman in a yellow jacket is holding a sign.
2998945968.jpg,a group of cyclists are carrying their bikes up a hill.
3001353.jpg,a large group of people are walking in a market.
300222673.jpg,a man plays guitar while a cat watches.
3003936696.jpg,an elderly woman wearing a blue plaid shirt and a gray hat.
3004291093.jpg,a man with a mohawk and a pac pac - man jacket is talking on a cellphone.
3005123298.jpg,a man in a black sweatshirt holds up a sign that says obama 08.
300539993.jpg,a dog is chewing on a stick.
3005512395.jpg,a young boy in a red striped shirt is sitting on a slide.
300777683.jpg,a girl in a red shirt is holding up a green toy.
3009524142.jpg,two men sitting in front of a bunch of dead birds.
3009644534.jpg,a dog is carrying a ball in its mouth.
3009713124.jpg,a woman and a young boy are playing a board game.
301175450.jpg,a group of people are walking down the street in a city.
301260428.jpg,a bird is eating something in the grass.
3014169370.jpg,a man in a yellow shirt is jumping off a waterfall.
3014251754.jpg,a boy in a green shirt is looking through a telescope.
301608837.jpg,a toddler in a white sweatshirt and blue pants is reaching for a pole.
301655083.jpg,a woman is working on a piece of cloth.
3016741474.jpg,a man and a woman pose with a inflatable tiger.
3017203816.jpg,a man and a woman are dressed up for halloween.
3017938268.jpg,two people holding hands walking down a sidewalk.
3018086343.jpg,a man in an orange shirt sits at a table with a puppy on it.
3019199755.jpg,a man in a red race car smiling.
3019776218.jpg,a young boy and a dog are lying on the floor.
3019923691.jpg,a brown dog wearing an orange collar shaking off water.
3020786031.jpg,two children playing on a truck.
3021318991.jpg,a girl in an orange uniform is playing field hockey.
3021449235.jpg,a young girl in pajamas is playing with blocks.
3021953768.jpg,a man with red - hair and glasses is playing a guitar.
3026102745.jpg,a man and woman looking at a crying baby.
3027255100.jpg,a man in a suit is playing a piano and singing.
3027282153.jpg,cheerleaders in cheerleaders uniforms are jumping in the air.
3027458420.jpg,a man in a white shirt is singing into a microphone while another man in a green shirt is playing
3027936866.jpg,two young african children are carrying a water jug.
3028404926.jpg,a young boy is standing on a patio using a machine.
3029463004.jpg,a man in a red shirt is surfing on a blue surfboard.
3031093209.jpg,a young boy holding a green shovel.
3034709132.jpg,a man in a plaid shirt is sitting at a lemonade stand.
3035785330.jpg,a man is lifting a child over his head.
3037283097.jpg,two men in suits are kicking each other.
3037558954.jpg,a man is sailing a sailboat in the ocean.
303795791.jpg,two white dogs run through the grass.
3039095384.jpg,a crowd of people are dancing and having a good time.
3039133846.jpg,a man in a white shirt is hanging upside down.
3040699634.jpg,a man is laying on the ground under a blue minivan.
3041262779.jpg,two women walking with strollers in a park.
3044745642.jpg,two men are standing outside a tent.
3045613316.jpg,three men are standing on a hill overlooking a valley.
3050114829.jpg,a surfer is riding a wave.
3051082548.jpg,two children and a dog are playing in a field.
3051384385.jpg,a young boy in striped pants is holding a plate above his head.
305212860.jpg,a young girl in a brown shirt and white tights is playing with a scooter.
3052196390.jpg,children play in a sprinkler.
3053785363.jpg,a field hockey game is taking place.
3054882305.jpg,two women in a crowd posing for a picture.
3056464479.jpg,a man and a dog are standing in the snow.
3058627443.jpg,a man is falling off a surfboard into the ocean.
306113908.jpg,a woman in a gray shirt and pink hat is cooking in a kitchen.
3063544435.jpg,a group of people paddles a boat in the water.
3064383768.jpg,a surfer is riding a wave.
3064443326.jpg,a man wearing a red bandanna over his face is surrounded by police.
3065207901.jpg,a young girl is sitting on a bench next to a bike and cleaning shoes.
3065468339.jpg,a black dog with a red collar is sniffing the ground.
307000532.jpg,three people in red shirts stand in front of a wall with graffiti.
3070836317.jpg,a woman in a white sweater is sitting on a couch reading a book.
3072650525.jpg,a girl with a lunch box walks down a sidewalk.
3075317210.jpg,a young boy is playing basketball.
3076585010.jpg,a crowd of people are standing in the street at night.
3079073247.jpg,a man in a black and orange jacket is riding a motorcycle.
3080363242.jpg,a man in a black and gray jacket is riding a motorcycle.
3081330705.jpg,a man stands on a mountaintop overlooking a lake and forest.
3083016677.jpg,two motorcycles with riders are stopped at a crosswalk.
308307853.jpg,a white poodle is running across a sandy area.
3083457930.jpg,a woman in a white shirt is cooking.
3085017634.jpg,a boy in a white uniform is playing hockey.
3085357792.jpg,a man in a blue shirt and blue shorts is running in a race.
3085592876.jpg,a group of people are sitting at tables in a room.
3086387529.jpg,a man in a gray shirt is standing in a club.
3086401959.jpg,a group of people are playing a drum.
308680206.jpg,a man in a black sweatshirt and jeans is jumping over a log on a beach.
3088979938.jpg,a man in a blue shirt is sitting at a desk with a computer and papers.
3090877035.jpg,a man in a white sweatshirt is drinking from a can while playing a bass guitar.
3091786541.jpg,a man in a white shirt and apron is holding a chicken in a kitchen.
3093971101.jpg,a surfer in a wetsuit surfing a wave.
3094752171.jpg,two men are standing on a billboard.
3095137758.jpg,santa claus rides in a parade.
3097969438.jpg,a teacher reads a book to a class of children.
3099627946.jpg,a choir singing in front of a large audience.
3099865313.jpg,a man standing outside a shack with smoke coming out of it.
3102204862.jpg,a wrestler is being lifted by another wrestler in a ring.
3102819100.jpg,a man in a hooded jacket is walking up some steps with a red bag.
3103185190.jpg,a girl jumps in the air in front of a scenic view.
3104690333.jpg,two children playing in the snow.
3104831222.jpg,a man in a cowboy hat is riding a bucking horse.
3105623068.jpg,a girl is rock climbing.
3106481014.jpg,a woman in a white shirt is putting a candle on a cake.
3106562372.jpg,a girl in a black dress jumps over another girl in a pink shirt.
310728631.jpg,a flock of birds fly in front of a mural.
3107889179.jpg,a family gathers around a table for a meal.
3109310753.jpg,"a woman in a white robe is sitting on a counter in front of a mirror, applying eyeliner"
3110174991.jpg,a man and a woman are looking at something.
3110649716.jpg,a man helps another man tie a red ribbon.
3112573472.jpg,a man and a woman are smiling and holding beer bottles.
3113682377.jpg,two women pose for a picture.
3116011063.jpg,a surfer is falling off his board into the ocean.
311619377.jpg,a woman in a black jacket is looking at a plate with smoke.
3116731299.jpg,a small dog is carrying a stick in its mouth.
3119887391.jpg,a man and a woman are smiling.
3119887967.jpg,a man in a black and white sweater points at the camera while a man in a black and white
3120266797.jpg,a group of people are standing in a field under a blue sky.
3121482932.jpg,a man in a helmet is riding a four - wheeler in the desert.
3121771055.jpg,a woman in a black shirt is riding an escalator.
3121997129.jpg,construction workers are pulling on to a lift.
312691128.jpg,a man in a green hat and green and yellow apron is flipping a pancake.
3130970054.jpg,four children jump into a pool.
3133044777.jpg,a man is standing in front of a fruit stand.
313326614.jpg,a man in a red jacket stands on a flight of stairs.
313342543.jpg,a man in a military uniform is clapping while surrounded by children.
3134585858.jpg,a man and a woman wearing black coats.
3134768532.jpg,three asian women are walking down the street.
3138504165.jpg,a hockey player in yellow is waiting for the puck.
3138746531.jpg,a group of people sitting around a campfire.
3139287876.jpg,a woman and man in colorful costumes are dancing in a parade.
3139393607.jpg,a snowboarder is standing on a green box.
3142687558.jpg,a woman in a blue dress is walking down the street.
3143991972.jpg,a woman and a baby are sitting on the floor in an airport.
3145869775.jpg,a woman in a black jacket and skirt is walking.
314603661.jpg,a brown and white dog is running towards a brown object.
3146630574.jpg,a dog is running on the beach with a red object in its mouth.
314799867.jpg,a man in a black hat and blue jacket is smiling for the camera.
3149261891.jpg,a woman in a red shirt is playing a harp.
3150252702.jpg,a snowboarder is airborne in the air.
3150315970.jpg,a man and a woman are looking at each other from a balcony.
3153069448.jpg,a man in a red jacket and orange boots is cleaning up trash on a bridge.
3153720471.jpg,a young boy is sitting on the floor in front of a fireplace making a funny face while making a
3154152744.jpg,two black dogs are playing with a red toy in the snow.
3154528397.jpg,a skier in a black and blue outfit is airborne.
3155361712.jpg,a snowboarder in a gray jacket is airborne.
3156113206.jpg,three men walk on rocks in a stream.
3156948184.jpg,a group of people and dogs walk along railroad tracks.
3157847991.jpg,two men smoking and standing behind a railing.
3159092624.jpg,a little boy runs through the grass.
3159569570.jpg,a group of african children in colorful clothes.
316032526.jpg,a young girl in a blue sweater is sitting on the ground reading a book.
3160531982.jpg,a person is paragliding at sunset.
3162399420.jpg,two women are playing with a glow stick.
3162442331.jpg,an elephant is carrying a red and blue cloth on its back.
3163323414.jpg,a group of women in red shirts singing.
3164328039.jpg,two dogs are playing with a ball in a field.
3165964731.jpg,a group of people are standing around a market.
3166366760.jpg,a man rides a bike down a trail in the woods.
3168306969.jpg,a young boy plays with a toy tool set.
3168841415.jpg,a young boy in a brown shirt is jumping and catching a blue frisbee.
3169394115.jpg,a dog stands on a bench in the snow.
3173014908.jpg,a skier is skiing down a snowy hill.
317383917.jpg,three dogs are standing in the snow.
3174453534.jpg,a woman holding a baby in a yellow dress.
3178300150.jpg,a basketball player in a white miami basketball uniform is attempting to block a player in a black miami basketball
3178865024.jpg,two young boys in aprons are preparing food in the kitchen.
3179235511.jpg,a young boy is sitting in a roller coaster.
3179498084.jpg,a group of people are sitting on the beach and are eating something out of a green bucket.
318070878.jpg,a woman in a colorful dress is holding a child on her arm.
3181075482.jpg,a group of people are sitting at a table with plates of food.
3181322965.jpg,a young boy is wading in a lake.
3181409177.jpg,a bmx biker is airborne on a ramp.
3182558164.jpg,a basketball player in a white uniform is attempting to shoot the ball.
318279620.jpg,a man in a gray shirt is sitting in a room and is talking to a woman in a black
3183519385.jpg,a surfer is riding a wave.
3183883750.jpg,"two young women smile and hold a card that says, know what this is?."
3184738462.jpg,a man in a brown jacket looking in a chinese window.
3186662364.jpg,a group of people are standing in a room.
318896597.jpg,an old man is cutting vegetables on the street.
3191828851.jpg,a young boy in a white shirt and blue jeans is standing on a bench in the woods.
3192645199.jpg,a man in a blue shirt and a woman in a gray shirt are talking on a bus.
31940658.jpg,a little girl wearing green swimming goggles is crawling on a brick walkway.
3195403123.jpg,a man in a tan shirt and glasses is playing a drum.
3196995975.jpg,a dog carries a stick across a frozen pond.
3197791645.jpg,two girls are playing in a pool.
3198962089.jpg,a snowboarder is jumping off a wooden platform.
3199600309.jpg,a man helps a toddler walk through the snow.
320093980.jpg,a woman wearing a scarf is laughing while a dog licks her cheek.
3201128175.jpg,a man in a costume is sitting in a chair with a toy helicopter and a lady bug on his
3203667356.jpg,a man in a green shirt is walking through a crowded street.
3207420792.jpg,a man walks through a field.
3208553539.jpg,a group of musicians are playing music on the sidewalk.
3208725027.jpg,a group of children in red uniforms are playing in a field.
3210457502.jpg,a white bird is flying over the water.
3212085754.jpg,a bride is putting on her shoes.
3213398742.jpg,a man in a red shirt and white cowboy hat is riding a bucking horse.
3214100656.jpg,a group of people are sitting on a bench.
3214151585.jpg,a surfer rides a wave in the ocean.
3214237686.jpg,a snowboarder in midair on a snowy hill.
3215695965.jpg,a boy is inside a shopping cart.
3215870337.jpg,a crowd of people are standing in front of a memorial.
3217789209.jpg,a woman in a white dress is splashing in a pool of water while two men are in the
32184285.jpg,a man in a black shirt is working on a project.
3218534409.jpg,two women riding horses.
3219065971.jpg,a young boy is sitting on a couch playing a card game.
3223302125.jpg,a skier in red is in the air.
3223318401.jpg,a woman in a black shirt is knitting with purple yarn.
3224227640.jpg,two dogs are playing together.
3226411414.jpg,a young boy is playing with a ball in a slum - like area.
3227423095.jpg,a man on a bike is jumping over a ramp.
3228069008.jpg,a brown dog is chewing on a metal pole.
3231237864.jpg,a man in a blue uniform is jumping in the air.
3231880001.jpg,a boy and a girl are smiling under a red flower.
3233683038.jpg,a young man wearing a purple bandanna around his neck plays a guitar.
3235542079.jpg,a snowboarder in a black and white striped jacket is airborne.
3239866450.jpg,a snowboarder is in midair at night.
3240214693.jpg,a group of people are sitting in a ship.
3241263130.jpg,a man is doing a flip in the air.
3241487502.jpg,two white dogs are running through the woods.
3241531692.jpg,a woman in a colorful dress is playing a drum.
3242808166.jpg,a person in a red jacket is riding a bike in the woods.
3242881252.jpg,a person in a white shirt and black pants is balancing on a pole with a child in a blue
3243094580.jpg,a person is riding a bicycle at night.
3243233886.jpg,a little blond child in a red jacket plays on a playground.
3243653344.jpg,a man in a white cowboy hat is riding a black bull in a rodeo.
3244470342.jpg,a snowboarder is airborne over a snowy hill.
3244693507.jpg,a man with dreadlocks is jumping with his skateboard.
3245001162.jpg,two little girls are looking at something in a paper.
324641725.jpg,a man in a brown shirt and khaki pants is operating a piece of machinery.
3247500085.jpg,a man plays a trumpet on stage.
3248676970.jpg,a group of people in orange jumpsuits are performing on a stage.
3249723543.jpg,a man in a black jacket is standing on a snowy road while a group of people are standing around
3251449029.jpg,a man in a black jacket is painting a picture of a cathedral.
3251646144.jpg,a boy in a brown shirt and jeans is running through a large metal tube.
325470375.jpg,a young boy in a green shirt is playing with a pinata.
3257107194.jpg,two men are trying to climb into the water.
3258472448.jpg,a person on fire is being chased by two other people.
3262104654.jpg,an old man in a white hat playing a saxophone.
3262185149.jpg,a man in a white t - shirt is playing a violin.
3266913175.jpg,a child is looking at a bunch of bikes.
3268301633.jpg,two men are working on a project.
3268428191.jpg,a man in a striped shirt talks with a man in a suit.
3268908792.jpg,a motorcyclist in midair over a crowd of people.
3269841412.jpg,a woman in a black and teal dress and black tights is laughing on a brown and white
3270348209.jpg,a man is painting a window on a building.
3270691950.jpg,a man is diving into a lake.
327298970.jpg,a man is doing a trick on a crowd of people.
3275527950.jpg,two people are planting plants in a field.
3275627207.jpg,a man with dreadlocks talks on his cellphone.
3275711232.jpg,a woman in a knit hat covers her face with a scarf.
3277532608.jpg,a man is waiting at a crosswalk.
3277834387.jpg,a man in a gray coat and scarf is standing in front of a cafe.
3278267794.jpg,three children are climbing a tree in front of a building.
3278777548.jpg,people walking on a bridge over a river.
327997381.jpg,a woman is getting her hair done in a salon.
3279988814.jpg,two women are sitting on a bed.
3280672302.jpg,a boy is carrying a girl on his back.
3282849143.jpg,a man in a white shirt is running in a race.
328322344.jpg,two men are talking on cellphones in a narrow street.
3283897411.jpg,a little girl in a pink shirt is holding a flaming object.
3285180819.jpg,two men playing basketball.
3286111436.jpg,a basketball player in a blue uniform is dribbling the ball.
3286198467.jpg,a dog with a muzzle is running through the grass.
3286620180.jpg,a group of people in red shirts are running a marathon.
3286822339.jpg,people walking down a street lined with chinese lanterns.
3287383259.jpg,a woman with red - hair is making a design for a piece of paper.
3288173388.jpg,a man teaching a girl in a red cloak.
3293945284.jpg,a large group of people fly kites in a field.
3299408000.jpg,a woman with red - hair and a black and white dress is standing in front of a brick wall
3300679815.jpg,three clowns are standing in a parade.
3301271382.jpg,three boys are in the water with two bulls.
3301438465.jpg,three men in white uniforms stand on a field in front of a large crowd.
3302986588.jpg,a young boy holding a blue umbrella stands in front of a building with orange and orange signs.
3303085500.jpg,a woman in a brown shirt is hugging another woman in a brown shirt.
3304712466.jpg,a group of cyclists are riding down the road.
3305895920.jpg,a basketball player in orange attempts to block the ball from three other players.
3307147971.jpg,a man and a woman are riding scooters in a field of flowers.
3308018795.jpg,a group of people riding bicycles in a race.
3308132698.jpg,a choir of people wearing white hats are singing.
3308612894.jpg,a baby in a pot sitting on top of a stove.
3309082580.jpg,a person on a bike in the woods.
3309230607.jpg,a young man is skateboarding on a wall with graffiti on it.
33108590.jpg,a man and a woman are standing in front of a table full of food.
3313232606.jpg,a team of men are running around cones.
3314311861.jpg,two women are playing musical instruments on a platform.
33143954.jpg,a man in a white shirt is standing in front of a crowd.
3314517351.jpg,a man is surfing on a white surfboard.
3315726723.jpg,two wrestlers wrestle in a wrestling match.
3316045142.jpg,a woman and man are sitting at a table with a fork in their mouth.
3316612446.jpg,a man in a brown jacket is walking up a flight of stairs.
3317183093.jpg,a large group of people are standing around at a convention.
3317992490.jpg,a woman in a purple sweater and helmet rides a bike.
3318021552.jpg,a market full of fresh produce.
3319723910.jpg,a skateboarder is doing a trick on a concrete slab.
3319899418.jpg,a snowboarder is jumping off a roof.
3320411267.jpg,a person in a blue jacket is climbing a rock in the woods.
3320756943.jpg,a group of people sitting on a bench in a park.
3323661814.jpg,"three young girls are in a dance studio, one is wearing a pink dress and the other is wearing"
3328387307.jpg,a group of people are gathered around a man cutting a piece of wood.
3328495660.jpg,two women are sitting on the ground and one is making something out of wood.
3329793486.jpg,a snowboarder is going down a ramp.
3329858093.jpg,a woman holding a baby is sitting in a train.
3331102049.jpg,a white bird with a black and gray stripe is flying through the air.
333216446.jpg,a man with a beard and an apron is smiling.
3333826465.jpg,two boys pose with a man dressed as a power ranger.
3334537556.jpg,a group of people and a dog are standing in the snow.
3334953664.jpg,a baseball player in a blue uniform is throwing a ball.
3335097235.jpg,a black and white dog is running through a field.
3335322101.jpg,a woman giving a presentation.
3335873796.jpg,a woman in a green shirt is giving a presentation.
3337174014.jpg,a skateboarder does a trick off of a low wall.
3337945511.jpg,a man in a blue and red costume is holding a crying child in a blue and yellow costume.
3338082262.jpg,a man in white is spewling something out of a bucket on fire.
3338289816.jpg,a little boy in a green and white striped shirt is rubbing his eye.
3339105374.jpg,two people in winter coats are walking in the snow with a dog.
3339263085.jpg,a dog is wading through the water.
334052203.jpg,three men are standing on a boat with nets in the water.
3343215311.jpg,two men are talking to each other in a park.
3344531479.jpg,a man in an orange shirt and white shorts playing tennis.
33459741.jpg,a woman in a dress is standing in front of an apartment building with a green laundry basket in front
3346918203.jpg,a woman in a blue jacket is riding a bike on a road.
3349258288.jpg,a skateboarder is jumping over a wall.
3350002347.jpg,a young boy is running outside.
3350671534.jpg,a man in a purple jacket is skating on a ramp.
3350785999.jpg,a group of women and children are sitting together.
335110163.jpg,a woman taking a picture of a camera.
3351496977.jpg,a man and a child are walking through a park.
3351667846.jpg,a man in a red and black striped shirt is serving food to a group of people.
3352135319.jpg,a man in a cowboy hat is tying a calf.
3352577815.jpg,a woman in a white shirt and black hat is riding a brown horse while a white cow is running
3353770555.jpg,a woman in a red sweater is looking at pictures on a wall.
3354070828.jpg,a family of four gather around a campfire.
335588286.jpg,a white dog is running on the beach with a stick in its mouth.
3356494271.jpg,two dogs are on a trail with a woman and a man in the background.
3357416302.jpg,a snowboarder in midair.
3360508977.jpg,a family singing together.
3361411074.jpg,a dog is running up a grassy hill.
3361636074.jpg,a man in a green shirt is bent over in front of a hockey goal.
336187979.jpg,a little girl yelling at a cat while two women look on.
3364026240.jpg,a skier is skiing down a very large mountain.
3364202209.jpg,a woman is eating from a bowl.
3372215826.jpg,a man in a black hat is firing a gun at night.
3374113156.jpg,a little girl in a yellow dress is sitting on a pile of rocks.
3374265095.jpg,a woman in a blue shirt is holding a red object in a store.
3376227992.jpg,a man in a white shirt is playing a dj ' s turntable.
3377040300.jpg,a group of people walking down a sidewalk.
3377043632.jpg,two women talking in a field.
3380929595.jpg,a young blond - haired boy is getting his haircut.
3384528359.jpg,a large bird with white wings is landing on the water.
3386953179.jpg,a skier is skiing down a snowy mountain.
3389458786.jpg,asian students are studying in a classroom.
3390808408.jpg,a man in a white shirt is playing soccer.
3390808454.jpg,three women are playing soccer.
3391716619.jpg,a man in a black jacket and brown shoes is sitting on a step.
3393926562.jpg,a man with a mustache and a leather jacket is pointing at something.
3395053439.jpg,a football player is being tackled by two opposing players.
3398276602.jpg,a man in a wheelchair is handing something to someone.
3399028417.jpg,a group of people walking down a street.
3399312265.jpg,two dogs fighting in the snow.
3399843227.jpg,a man and a woman are posing for a picture.
340004770.jpg,a young man is playing a brown and white electric guitar.
3400324929.jpg,a group of people are hanging from a swing.
3409326324.jpg,a group of birds sitting on a concrete wall.
3410899419.jpg,children are standing outside and bathing in a bucket.
341235582.jpg,a little girl wrapped up in a care bears blanket.
3413973568.jpg,a man is wakeboarding in the ocean.
3414240023.jpg,a man is sitting on a rock fishing.
3414734842.jpg,a man and two women are walking down a path in the woods.
3414953159.jpg,a young boy is reading a book in the grass.
3415003392.jpg,a person on a dirt bike in the woods.
3415230151.jpg,a boy in a white shirt and black pants is playing with a red and blue ball.
3415578043.jpg,a child is sitting in a mess of paint.
3415783122.jpg,a man in a gray jacket and a woman in a green jacket are sitting on a bicycle on the
341665272.jpg,a dog runs through the snow with a frisbee in its mouth.
3416925417.jpg,a man in a blue sweatshirt and jeans is walking with a young boy in a brown sweater and blue
3417319108.jpg,two women are sitting on a couch and smiling.
